account name,campaign name,adset name,date,impressions,spend,purchase,link click,revenue,country,currency,target type,spend $,revenue $
US_Account,Campaign 92,Adset 1,2021-10-01,907,212.02,6,62,417.22,US,USD,existing customers,212.02,417.21999999999997
US_Account,Campaign 92,Adset 2,2021-10-01,1068,76.75,1,19,69.04,US,USD,existing customers,76.75,69.04
US_Account,Campaign 100,Adset 296,2021-10-01,1675,43.73,1,8,56.27,US,USD,broad,43.73,56.27
US_Account,Campaign 100,Adset 301,2021-10-01,4273,116.18,1,26,51.47,US,USD,interest,116.17999999999999,51.47
US_Account,Campaign 100,Adset 304,2021-10-01,1805,48.28,2,13,118.59,US,USD,interest,48.28000000000001,118.59
US_Account,Campaign 98,Adset 295,2021-10-01,1584,46.85,1,20,61.48,US,USD,interest,46.85,61.47999999999999
US_Account,Campaign 92,Adset 1,2021-10-02,605,113.69,2,40,229.97,US,USD,existing customers,113.69,229.97
US_Account,Campaign 92,Adset 2,2021-10-02,890,72.56,1,19,97.85,US,USD,existing customers,72.56,97.85
US_Account,Campaign 100,Adset 301,2021-10-02,4638,116.31,6,36,404.36,US,USD,interest,116.31,404.36
US_Account,Campaign 100,Adset 304,2021-10-02,1979,47.56,3,15,221.09,US,USD,interest,47.56,221.09
US_Account,Campaign 98,Adset 294,2021-10-02,1138,34.12,1,13,61.48,US,USD,interest,34.12,61.47999999999999
US_Account,Campaign 98,Adset 296,2021-10-02,1145,35.08,1,14,61.48,US,USD,broad,35.08,61.47999999999999
US_Account,Campaign 98,Adset 293,2021-10-02,1745,48.66,3,17,234.3,US,USD,interest,48.66,234.3
US_Account,Campaign 92,Adset 1,2021-10-03,788,105.9,9,37,686.69,US,USD,existing customers,105.9,686.69
US_Account,Campaign 92,Adset 2,2021-10-03,1108,79.31,3,25,279.03,US,USD,existing customers,79.30999999999999,279.03
US_Account,Campaign 100,Adset 301,2021-10-03,10201,188.93,3,74,212.4,US,USD,interest,188.93,212.4
US_Account,Campaign 100,Adset 304,2021-10-03,7124,127.55,2,31,160.03,US,USD,interest,127.55,160.03
US_Account,Campaign 92,Adset 1,2021-10-04,686,77.44,2,27,131.89,US,USD,existing customers,77.44000000000001,131.89
US_Account,Campaign 92,Adset 2,2021-10-04,853,67.11,1,26,110.57,US,USD,existing customers,67.11,110.57
US_Account,Campaign 100,Adset 304,2021-10-04,4774,94.78,3,24,158.02,US,USD,interest,94.78,158.02
US_Account,Campaign 92,Adset 1,2021-10-05,507,104.1,4,22,260.21,US,USD,existing customers,104.1,260.21
US_Account,Campaign 92,Adset 2,2021-10-05,875,77.75,2,17,120.51,US,USD,existing customers,77.75,120.51
US_Account,Campaign 100,Adset 301,2021-10-05,4921,119.98,1,35,61.48,US,USD,interest,119.98,61.47999999999999
US_Account,Campaign 102,Adset 302,2021-10-05,4722,152.62,2,45,109.75,US,USD,interest,152.62,109.75
US_Account,Campaign 102,Adset 296,2021-10-05,6581,152.06,2,25,130.96,US,USD,broad,152.06,130.96
US_Account,Campaign 102,Adset 304,2021-10-05,6919,154.9,2,33,109.75,US,USD,interest,154.9,109.75
US_Account,Campaign 102,Adset 299,2021-10-05,7504,153.22,1,41,63.92,US,USD,interest,153.22,63.92
US_Account,Campaign 96,Adset 283,2021-10-05,6623,147.3,3,49,156.07,US,USD,interest,147.3,156.07
US_Account,Campaign 96,Adset 277,2021-10-05,8413,149.14,1,48,129.47,US,USD,broad,149.14,129.47
US_Account,Campaign 96,Adset 287,2021-10-05,5203,148.71,1,38,61.48,US,USD,lookalike,148.70999999999998,61.47999999999999
US_Account,Campaign 96,Adset 281,2021-10-05,7356,147.62,1,57,74.06,US,USD,interest,147.62,74.06
US_Account,Campaign 96,Adset 285,2021-10-05,7693,146.97,1,45,61.48,US,USD,interest,146.97,61.47999999999999
US_Account,Campaign 92,Adset 1,2021-10-06,529,104.89,3,22,193.12,US,USD,existing customers,104.89,193.12000000000003
US_Account,Campaign 92,Adset 2,2021-10-06,883,76.1,1,10,101.22,US,USD,existing customers,76.10000000000001,101.22000000000001
US_Account,Campaign 102,Adset 296,2021-10-06,6789,190.67,1,37,102.24,US,USD,broad,190.67,102.24
US_Account,Campaign 102,Adset 305,2021-10-06,5617,166.09,1,29,33.11,US,USD,lookalike,166.09,33.11
US_Account,Campaign 102,Adset 304,2021-10-06,6722,191.78,3,50,184.44,US,USD,interest,191.78000000000003,184.44
US_Account,Campaign 96,Adset 283,2021-10-06,6983,194.42,1,57,73.01,US,USD,interest,194.42,73.01
US_Account,Campaign 96,Adset 287,2021-10-06,6419,194.66,1,43,61.48,US,USD,lookalike,194.66,61.47999999999999
US_Account,Campaign 96,Adset 281,2021-10-06,4854,123.79,1,30,74.06,US,USD,interest,123.79,74.06
US_Account,Campaign 96,Adset 285,2021-10-06,7938,196.13,5,71,310.56,US,USD,interest,196.13,310.56
US_Account,Campaign 92,Adset 1,2021-10-07,482,99.67,2,31,99.76,US,USD,existing customers,99.67,99.76
US_Account,Campaign 92,Adset 2,2021-10-07,741,75.38,3,15,262.58,US,USD,existing customers,75.38,262.58
US_Account,Campaign 96,Adset 285,2021-10-07,7129,186.82,2,57,233.35,US,USD,interest,186.82,233.35
US_Account,Campaign 92,Adset 1,2021-10-08,464,96.4,4,32,303.4,US,USD,existing customers,96.4,303.4
US_Account,Campaign 92,Adset 2,2021-10-08,678,77.9,4,21,324.37,US,USD,existing customers,77.9,324.37
