account name,campaign name,adset name,date,impressions,spend,purchase,link click,revenue,daily budget,country,currency,target type,spend $,daily budget $,revenue $
US_Account,Campaign 87,Adset 260,2021-11-01,4784,118.51,1,21,45.88,120,US,USD,lookalike,118.51,120.0,45.88000000000001
US_Account,Campaign 87,Adset 260,2021-11-02,5220,119.67,1,27,56.27,120,US,USD,lookalike,119.67000000000002,120.0,56.27
US_Account,Campaign 87,Adset 260,2021-11-03,5761,118.18,2,23,146.12,120,US,USD,lookalike,118.18,120.0,146.12
US_Account,Campaign 87,Adset 260,2021-11-04,4868,120.26,2,15,149.1,120,US,USD,lookalike,120.26,120.0,149.1
US_Account,Campaign 87,Adset 260,2021-11-05,4701,120.04,1,16,48.27,120,US,USD,lookalike,120.04,120.0,48.27
US_Account,Campaign 87,Adset 260,2021-11-06,4107,128.29,2,20,261.93,120,US,USD,lookalike,128.29,120.0,261.93
US_Account,Campaign 91,Adset 269,2021-11-06,361,8.58,1,3,59.96,120,US,USD,existing customers,8.58,120.0,59.959999999999994
US_Account,Campaign 87,Adset 260,2021-11-07,4673,117.22,2,18,135.43,120,US,USD,lookalike,117.22,120.0,135.43
US_Account,Campaign 84,Adset 261,2021-11-07,4899,107.79,2,62,126.81,250,US,USD,existing customers,107.79,250.00000000000003,126.81
US_Account,Campaign 84,Adset 262,2021-11-07,997,20.0,1,12,48.27,250,US,USD,existing customers,20.0,250.00000000000003,48.27
US_Account,Campaign 90,Adset 268,2021-11-08,1050,49.26,1,26,107.6,250,US,USD,leads,49.26,250.00000000000003,107.6
US_Account,Campaign 84,Adset 261,2021-11-08,3545,70.81,2,44,161.4,250,US,USD,existing customers,70.81,250.00000000000003,161.4
US_Account,Campaign 87,Adset 260,2021-11-09,3770,118.39,2,17,210.71,120,US,USD,lookalike,118.39,120.0,210.71
US_Account,Campaign 84,Adset 262,2021-11-09,926,21.47,1,20,53.8,120,US,USD,existing customers,21.47,120.0,53.8
